"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1849287683119735054","Thu Oct 24 23:34:06 +0000 2024","0","@saiful_mujani bukane uu sudah berubah militer atau polri aktif bisa isi jabatan publik??? g da ruang bagi warga biasa.","1849595249942987097","","saiful_mujani","in","Semarang","0","0","0","https://x.com/Muridalpha1/status/1849595249942987097","238464119","Muridalpha1"
"1849594090515726458","Thu Oct 24 23:29:29 +0000 2024","0","Keluarga Besar SSDM Polri mengucapkan selamat atas dilantiknya Komjen Pol (Purn) Drs. Agus Andrianto S.H. M.H. sebagai Menteri Imigrasi dan Pemasyarakatan dalam Kabinet Merah Putih periode 2024-2029.Semoga amanah besar yang diemban dapat dilaksanakan dengan penuh tanggung jawab https://t.co/XgJHSpT4Jf","1849594090515726458","https://pbs.twimg.com/ext_tw_video_thumb/1849593639447691268/pu/img/ZjzOWg4nOeX1o18M.jpg","","in","","0","0","0","https://x.com/sdmpolresbws/status/1849594090515726458","1645632777688342528","sdmpolresbws"
"1848943752435667140","Thu Oct 24 23:25:48 +0000 2024","0","@03__nakula @TMCPoldaMetro Gini gini aja nich pak Ayok pak kerja dong Masak liat ginian g mau gerak @DivHumas_Polri @NTMCLantasPolri","1849593163050254742","","03__nakula","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/Slayngekan/status/1849593163050254742","1564883331824566272","Slayngekan"
"1849592815464206520","Thu Oct 24 23:24:25 +0000 2024","0","Apel bersama TNI dan Polri merupakan wujud sinergitas dan kekompakan sebagai pelayan masyarakat https://t.co/2VWL3B5V2I","1849592815464206520","https://pbs.twimg.com/media/GasS3KzbgAAtj6L.jpg","","in","Ponorogo, Indonesia","0","0","0","https://x.com/polsekpudak12/status/1849592815464206520","1570067541023936513","polsekpudak12"
"1849029519094739368","Thu Oct 24 23:24:14 +0000 2024","0","@cosmo_nauts @blue_berets7 @DivHumas_Polri @ListyoSigitP @prabowo Bukan cm timnas yg butuh naturalisasi. Nampaknya pak presiden salah nempatkan Pak Erick Thohir di KemenBUMN","1849592766793400467","","cosmo_nauts","in","NKRI🇲🇨","0","0","0","https://x.com/geetracker/status/1849592766793400467","1288810328101330946","geetracker"
"1849592736476954907","Thu Oct 24 23:24:06 +0000 2024","0","Haloo Sobat Polri !!! STOP PEMBAKARAN HUTAN DAN LAHAN!!! #KarhutlaSumsel https://t.co/Pm4T8MlwtW","1849592736476954907","https://pbs.twimg.com/media/GasSx9kaAAIAOOM.png","","in","Muara Enim, Sumatera Selatan","0","0","0","https://x.com/Polres_ME/status/1849592736476954907","1189550484673060865","Polres_ME"
"1849592648363016265","Thu Oct 24 23:23:45 +0000 2024","0","32 hari lagi menuju Pilkada Serentak Tahun 2024 . . . @divisihumaspolri @spripim.polri @spripim_kalteng @multimedia_poldakalteng #kaltengamannyaman #murungrayaamannyaman https://t.co/sZN2XjEbIO","1849592648363016265","https://pbs.twimg.com/media/GasStiUbsAAAeVc.jpg","","in","","0","0","0","https://x.com/res_mura/status/1849592648363016265","1182957758405988353","res_mura"
"1849592623801286748","Thu Oct 24 23:23:39 +0000 2024","0","Yaaah balik lagi dah polisinya @DivHumas_Polri","1849592623801286748","","","in","","0","0","0","https://x.com/geli_aah/status/1849592623801286748","1316870835307601920","geli_aah"
"1849592503198196022","Thu Oct 24 23:23:11 +0000 2024","0","33 Perwira Lemdiklat Polri Dimutasi September 2024 Jadi Kapolres hingga Ketua STIK https://t.co/u88c4694Xn","1849592503198196022","","","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/SINDOnews/status/1849592503198196022","231355136","SINDOnews"
"1849367881458594156","Thu Oct 24 23:22:06 +0000 2024","1","@FPD_DPR @prabowo @KPK_RI @BennyHarmanID Setuju pk tu AHY menkonya bagus suruh benahi kementerian di bidang hukum bersihkan Polri kejari MA dari KKN dgn tegas. Bersihkan mereka dari jakarta pk gak bisa dari daerah","1849592233626042557","","FPD_DPR","in","Dolok Masihul, Indonesia","0","0","0","https://x.com/iwandolok/status/1849592233626042557","2272818902","iwandolok"
